transition_date,confirmed_date,exit_date,previous_regime,transition_regime,confirmation_regime,lookahead_safe
2022-01-24,2022-01-24,2022-01-25,bull,neutral,neutral,True
2022-03-07,2022-03-07,2022-03-08,bull,neutral,neutral,True
2022-03-22,2022-03-22,2022-03-23,bull,neutral,neutral,True
2022-04-07,2022-04-07,2022-04-08,bull,neutral,neutral,True
2022-04-11,2022-04-11,2022-04-12,bull,neutral,neutral,True
2022-04-15,2022-04-15,2022-04-18,bull,neutral,neutral,True
2022-04-22,2022-04-22,2022-04-25,bull,neutral,neutral,True
2022-09-01,2022-09-01,2022-09-02,bull,neutral,neutral,True
2022-09-19,2022-09-19,2022-09-20,bull,neutral,neutral,True
2022-09-21,2022-09-21,2022-09-22,bull,neutral,neutral,True
2023-08-10,2023-08-10,2023-08-11,bull,neutral,neutral,True
2023-09-26,2023-09-26,2023-09-27,bull,neutral,neutral,True
2023-10-03,2023-10-03,2023-10-04,bull,neutral,neutral,True
2023-10-17,2023-10-17,2023-10-18,bull,neutral,neutral,True
2024-01-17,2024-01-17,2024-01-18,bull,neutral,neutral,True
2024-07-22,2024-07-22,2024-07-23,bull,neutral,neutral,True
2024-07-26,2024-07-26,2024-07-29,bull,neutral,neutral,True
2024-10-29,2024-10-29,2024-10-30,bull,neutral,neutral,True
2024-11-12,2024-11-12,2024-11-13,bull,neutral,neutral,True
2024-11-27,2024-11-27,2024-11-28,bull,neutral,neutral,True
2024-12-13,2024-12-13,2024-12-16,bull,neutral,neutral,True
2024-12-30,2024-12-30,2024-12-31,bull,neutral,neutral,True
2025-03-28,2025-03-28,2025-03-31,bull,neutral,neutral,True
2025-06-02,2025-06-02,2025-06-03,bull,neutral,neutral,True
2025-11-19,2025-11-19,2025-11-20,bull,neutral,neutral,True
2025-11-21,2025-11-21,2025-11-24,bull,neutral,neutral,True
2026-03-31,2026-03-31,2026-04-01,bull,neutral,neutral,True
2026-07-20,2026-07-20,2026-07-21,bull,neutral,neutral,True
2026-07-28,2026-07-28,2026-07-29,bull,neutral,neutral,True
2026-08-07,2026-08-07,2026-08-10,bull,neutral,neutral,True
