stock_id,signal_date,entry_date,exit_date,holding_days,score,oversold_score,reversal_score,entry,exit,return,exit_reason
1301,2024-06-20,2024-06-21,2024-06-26,4,71.75,65.0,80.0,61.0,57.949999999999996,-0.050000000000000044,stop_loss
1301,2024-12-10,2024-12-11,2024-12-13,3,71.75,65.0,80.0,40.75,38.7125,-0.050000000000000044,stop_loss
1301,2024-12-18,2024-12-19,2024-12-30,8,70.75,55.0,90.0,37.79999923706055,35.90999927520752,-0.050000000000000044,stop_loss
1476,2022-03-18,2022-03-21,2022-04-01,10,71.75,65.0,80.0,455.0,488.5,0.07362637362637359,time_exit
1476,2024-04-22,2024-04-23,2024-05-07,10,76.25,65.0,90.0,503.0,490.5,-0.0248508946322068,time_exit
1476,2026-04-09,2026-04-10,2026-04-23,10,71.75,65.0,80.0,326.5,333.0,0.019908116385911168,time_exit
1536,2026-03-18,2026-03-19,2026-03-23,3,76.25,65.0,90.0,52.5,49.875,-0.050000000000000044,stop_loss
1605,2024-11-18,2024-11-19,2024-11-28,8,71.75,65.0,80.0,28.149999618530273,26.742499637603757,-0.050000000000000155,stop_loss
1795,2023-08-16,2023-08-17,2023-08-23,5,73.5,60.0,90.0,264.0,250.79999999999998,-0.050000000000000044,stop_loss
1795,2025-08-22,2025-08-25,2025-09-05,10,77.25,75.0,80.0,195.0,192.5,-0.012820512820512775,time_exit
1795,2026-03-18,2026-03-19,2026-03-19,1,80.0,80.0,80.0,240.0,228.0,-0.050000000000000044,stop_loss
1802,2022-02-07,2022-02-08,2022-02-15,6,74.5,70.0,80.0,23.75,22.5625,-0.050000000000000044,stop_loss
1802,2023-03-23,2023-03-24,2023-04-11,10,71.75,65.0,80.0,20.700000762939453,20.149999618530273,-0.026570102615352642,time_exit
1802,2026-08-03,2026-08-04,2026-08-04,1,74.5,70.0,80.0,47.099998474121094,51.80999832153321,0.10000000000000009,take_profit
2014,2023-10-18,2023-10-19,2023-10-24,4,70.75,55.0,90.0,21.5,20.425,-0.04999999999999993,stop_loss
2105,2025-06-26,2025-06-27,2025-07-10,10,72.75,75.0,70.0,39.5,39.04999923706055,-0.011392424378213972,time_exit
2204,2025-07-23,2025-07-24,2025-08-07,10,70.75,55.0,90.0,55.20000076293945,56.900001525878906,0.030797114844984153,time_exit
2231,2022-03-10,2022-03-11,2022-03-23,9,77.25,75.0,80.0,126.41087341308594,139.05196075439454,0.10000000000000009,take_profit
2231,2025-06-12,2025-06-13,2025-06-20,6,72.75,75.0,70.0,75.30000305175781,71.53500289916992,-0.04999999999999993,stop_loss
2303,2024-11-07,2024-11-08,2024-11-14,5,76.25,65.0,90.0,47.400001525878906,45.03000144958496,-0.050000000000000044,stop_loss
2308,2026-07-31,2026-08-03,2026-08-04,2,84.5,80.0,90.0,1610.0,1529.5,-0.050000000000000044,stop_loss
